title,alias,artists,artist_aliases,country,genre,language,duration,notes
"Move Your Body",,"Loco Mía","Loco Mía",Spain,Pop,Spanish,286,Latin
"Obsesiva 'Abgefahrn'",,"Loco Mía","Loco Mía",Spain,Pop,Spanish,453,Latin
"Party Time",,"Loco Mía","Loco Mía",Spain,Pop,Spanish,350,Latin
"WHITE SONG",,HYDE,,Japan,Pop,Japanese,315,J
OASIS,,HYDE,,Japan,Pop,Japanese,276,J
"A DROP OF COLOUR",,HYDE,,Japan,Pop,Japanese,273,J
"Sugar Free",,T-ARA,,Korea,Pop,Korean,235,K
ROLY-POLY,,T-ARA,,Korea,Pop,Korean,214,K
"SEXY LOVE",,T-ARA,,Korea,Pop,Korean,225,K
Lovey-Dovey,,T-ARA,,Korea,Pop,Korean,215,K
"(It Goes Like) Nanana - Edit",,"Peggy Gou",,Korea,"Deep house",English,231,K
"I Go - Edit",,"Peggy Gou",,Korea,"Deep house",English,224,K
"1+1=11 - Edit",,"Peggy Gou",,Korea,"Deep house",English,190,K
"Sugar Water Cyanide",,"Rebecca Black",,USA,Pop,English,174,Pop
TRUST!,,"Rebecca Black",,USA,Pop,English,171,Pop
Salvation,,"Rebecca Black",,USA,Pop,English,200,Pop
Crumbs,,"Rebecca Black",,USA,Pop,English,193,Pop
"Twist The Knife",,"Rebecca Black",,USA,Pop,English,205,Pop
"Tears In My Pocket",,"Rebecca Black",,USA,Pop,English,177,Pop
"Do You Even Think About Me?",,"Rebecca Black",,USA,Pop,English,196,Pop
"Tukoh Taka - Official FIFA Fan Festival™ Anthem","Tukoh Taka - Official FIFA Fan Festival™ Anthem","Nicki Minaj, Maluma, Myriam Fares, FIFA Sound",,idk,Pop,Various,178,"talk over Nicki lol"
Loba,,Shakira,,Colombia,Pop,Spanish,188,Latin
"Shakira: Bzrp Music Sessions, Vol. 53/66",,"Shakira, Bizarrap",,Colombia,Pop,Spanish,214,Latin
"Choka Choka",,"Anitta, Shakira",,Brasil,Pop,"Spanish, Portuguese",131,Latin
"Te Felicito",,"Shakira, Rauw Alejandro",,Colombia,Pop,Spanish,172,Latin
"TODO ROTO",,"Nathy Peluso, CA7RIEL, Paco Amoroso",,Spain,Pop,Spanish,187,Latin
SALVAJE,,"Nathy Peluso",,Spain,Pop,Spanish,205,Latin
REAL,,"Nathy Peluso",,Spain,Pop,Spanish,179,Latin
DELITO,,"Nathy Peluso",,Spain,Pop,Spanish,203,Latin
Pulse,,KAZAKY,,Ukraine,Pop,English,190,R/U
"Touch Me",,KAZAKY,,Ukraine,Pop,English,200,R/U
